 
Conta de: caatinga01
741_1879_c3  |  FAILED  |  GVJEIETM2RHHIUMRL3ZULB73
741_1859_c3  |  FAILED  |  GXWH26LWLQOILQPYFYF2CG3A
741_2233_c3  |  FAILED  |  EOCDC7TP7XU5XTRDIAEB6RAV
Conta de: caatinga01
7492_1985_c1  |  READY  |  42QWUVKBNP5WME67PUPY5BEV
7492_1984_c1  |  READY  |  74ALI56VQKNVYBUJHHBGEBQU
7492_1983_c1  |  READY  |  R6IV5BPGP3IGZ4GSYT7VWM2T
746_2280_c1  |  READY  |  4PL3U2BH6OALOGVA76XNBDFI
746_2279_c1  |  READY  |  DNE5LNDKJCMZQYBH3ZOHUP2Z
746_2278_c1  |  READY  |  XWOWNKGMWFQ4JL3MEFATVPDB
746_2277_c1  |  READY  |  KE6CXRYP7ZDFZAGIKZD55LKR
746_2276_c1  |  READY  |  QFX6TONNRY6Z7YNIYH4EQYU7
746_2275_c1  |  READY  |  JUZ4JIZGAIO2UEM5RTPTHQEV
746_2274_c1  |  READY  |  2GF4US4TJYGDXNORY3TNZRRJ
746_2273_c1  |  READY  |  SESZOXXD4BJBIY7P36MP27O6
746_2272_c1  |  READY  |  PDAM6X6G3QQSBC6WB6YORVWJ
745_2271_c1  |  READY  |  FF2NWSD57RBXYVAME2NR3WCF
745_2270_c1  |  READY  |  PNKJOB36JSALNFMGHJOYUBEB
745_2269_c1  |  READY  |  T2FHWXZM2GJZYILCSOY572PU
745_2268_c1  |  READY  |  JKELUH6C72I32DCAXL36EYLM
745_2267_c1  |  READY  |  ITQXN3FVR4JRIQJUQHCBACT7
745_2266_c1  |  READY  |  GZWDIYTTTSSESVC2M76RVWAK
Conta de: caatinga02
755_2292_c1  |  READY  |  HJORRB7V3AQLNVLDRFNWLRBP
755_2290_c1  |  READY  |  NTWRK6E4BKG5KN34YMEFY3J6
755_781_c1  |  READY  |  NWPVSZLKM5CJUGJA7L27LAUP
755_2288_c1  |  READY  |  BMHD62VXSQGSC7CXZBRNGUQN
755_2287_c1  |  READY  |  DDH7QDUBI6L52PWVWF24SUJG
755_2245_c1  |  READY  |  2GQCXZ3BKAS44UXSNTM5VWRZ
754_2299_c1  |  READY  |  SP5YJYXWR4JRDQBMECZUNV5Y
754_780_c1  |  READY  |  NWSWKMUGJ3HHVAFGIAT7TUDN
754_2286_c1  |  READY  |  64OAJXDFZJR2FMEEIP4XOT3W
754_2018_c1  |  READY  |  E6LJOHOGICXFBAUJNCKGBWNV
754_2017_c1  |  READY  |  H3PBEIOQHEC4X2VVEF2T7TWD
754_2016_c1  |  READY  |  FP7NZ6VCCCNCR76N7U2CZDQ7
754_2015_c1  |  READY  |  MKDUFBLCJ5UIAUYBGVKH7PAC
754_2014_c1  |  READY  |  6NKECH6OOPDLQGXKGJGZSB2T
754_2013_c1  |  READY  |  YV4KCR7BQSN75IA52YWQ2R5T
754_2011_c1  |  READY  |  SFNWGRZGMM4GRSMJGKCVWC6G
754_2010_c1  |  READY  |  SMLNQENYVFSDPUIBULHKYTTM
753_2009_c1  |  READY  |  SOLFOTPKUQAWHXADCGQICXIO
Conta de: caatinga03
masks_pixels_incidentes_2005  |  COMPLETED  |  MFOXGA3B2VUNJ5CMGJ7FEMGM
masks_pixels_incidentes_2004  |  COMPLETED  |  B52YKIY4N2WFT6S4A3HPHWST
masks_pixels_incidentes_2003  |  COMPLETED  |  UZSO5UWM7THLTE5B3KXKAHTV
masks_pixels_incidentes_2002  |  COMPLETED  |  JB3MH3LYKTREONTWYY23POFB
masks_pixels_incidentes_2001  |  COMPLETED  |  HJYQSJH5QUGNOGBIIN5XYWGF
masks_pixels_incidentes_2000  |  COMPLETED  |  CHW6ZOSX2IWH7G6YMGK3IFOJ
masks_pixels_incidentes_1999  |  COMPLETED  |  JYB7FLOMDKCTX36ABZ74W6PI
Conta de: caatinga04
masks_pixels_incidentes_2012  |  COMPLETED  |  5TIOIKQIJM232TEB7YAAPVJW
masks_pixels_incidentes_2011  |  COMPLETED  |  5F7IRIBXJ7ZCNRDRTZ4MSTH3
masks_pixels_incidentes_2010  |  COMPLETED  |  WLZGV55JIMAWPLJJSHKTIUJD
masks_pixels_incidentes_2009  |  COMPLETED  |  6NYS655OWXHGCYIZEJVGUG25
masks_pixels_incidentes_2008  |  COMPLETED  |  YIYTWNXZDCJ5YIKL6FRED4HK
masks_pixels_incidentes_2007  |  COMPLETED  |  K7DVF3M3TQ6BBAVYY4ILJIYI
masks_pixels_incidentes_2006  |  COMPLETED  |  MQGTUBA7FXQZEKDU7Q42FUE6
Conta de: caatinga05
masks_pixels_incidentes_2019  |  COMPLETED  |  IFW25REQTRBQFDWOHM4LJCYU
masks_pixels_incidentes_2018  |  COMPLETED  |  W44VQJW54J4W5HKBEVF5FZCW
masks_pixels_incidentes_2017  |  COMPLETED  |  CVY7SHUIPPVQQJXOHPOHUJHF
masks_pixels_incidentes_2016  |  COMPLETED  |  KJOA64OLPSBUTVGTTXSX4R56
masks_pixels_incidentes_2015  |  COMPLETED  |  THPB32FXVJ6JC2JLFJIN7HVV
masks_pixels_incidentes_2014  |  COMPLETED  |  M6LTC4R5V2WYSR6HVFATPWIC
masks_pixels_incidentes_2013  |  COMPLETED  |  ERMBHHVSV4HOLX6FCL3ZKN52
Conta de: caatinga01
751_1997_2023_c1  |  READY  |  LDWX744ARDHLTDNRP3X44HMN
751_1997_2022_c1  |  READY  |  RO3M5OEJ7MHIMYRDJEZCXCEW
751_1997_2021_c1  |  READY  |  AGIQ27AJNNBGSM75LIEZHRYI
751_1997_2020_c1  |  READY  |  EQHHF3X6OXJUOSFNDL2JYTYT
751_1997_2019_c1  |  READY  |  6MQMJDXXKNG7H4RVBLSXNFD4
751_1997_2018_c1  |  READY  |  Z3HIIJHC4VQPORJTXU7ABBSY
751_1997_2017_c1  |  READY  |  DJGHXDG7YV6OOCUA5TBRICCE
751_1997_2016_c1  |  READY  |  JOTB3FHIAI3ZGHJU7AXA6XRF
